"Systematik der Einnahmen und Ausgaben der privaten Haushalte, Ausgabe 2021";""
"Dateiinhalt: Stichwörter";""
"Sprache: Systematik der Einnahmen und Ausgaben der privaten Haushalte, Ausgabe 2021";""
"Letzte Aktualisierung der Stichwörter: 18.09.2024 08:00:38 (GMT+0200)";""
"Weitere Informationen: klassifikationsserver.de";""
"Copyright:";""
"Eigentümer:";""
"Stichwort";"Schlüssel SEA 2021"
"Aal, frisch (auch lebend), gekühlt";"0113 101"
"Aal, gefroren";"0113 102"
"Aal, geräuchert";"0113 200"
"Abbuchungen von Geschäftskonten im Gewerbebetrieb, für private Zwecke";"0013 900"
"Abbuchungen von Geschäftskonten im land- und forstwirtschaftlichen Betrieb, für private Zwecke";"0013 900"
"Abbuchungen von Postsparbüchern";"0071 100"
"Abbuchungen von Sparbüchern";"0071 100"
"Abbuchungen von Termingeldkonten";"0071 200"
"Abdeckfolien, universell einsetzbar";"0540 329"
"Abdeckplanen, universell verwendbar";"0540 329"
"Abdeckungen für Fahrräder";"0721 308"
"Abdeckungen für Kraftfahrzeuge";"0721 305"
"Abendgymnasien, postsekundarer, nicht-tertiärer Bildungsbereich, Dienstleistungen";"1030 000"
"Abendhauptschulen, Sekundarbereich I, Dienstleistungen";"1020 010"
"Abendkleider";"0312 22"
"Abendrealschulen, Sekundarbereich I, Dienstleistungen";"1020 010"
"Abfalleimer aus anderem Material";"0540 325"
"Abfalleimer aus Kunststoff";"0540 325"
"Abfallkübel aus anderem Material";"0540 325"
"Abfallkübel aus Kunststoff";"0540 325"
"Abfalltonnen aus anderem Material";"0540 325"
"Abfalltonnen aus Kunststoff";"0540 325"
"Abfindungen an den geschiedenen Ehepartner, Ausgaben, gesetzlich und vertraglich";"1643 100"
"Abfindungen aus der gesetzlichen Rentenversicherung";"0031 580"
"Abfindungen aus der gesetzlichen Unfallversicherung";"0031 580"
"Abfindungen aus der Kraftfahrzeugversicherung";"0033 220"
"Abfindungen aus der Kriegsopferversorgung";"0031 639"
"Abfindungen aus der Zusatzversorgung für Angehörige des öffentlichen Dienstes";"0031 580"
"Abfindungen aus privater Schaden- und Unfallversicherung";"0033 220"
"Abfindungen beim Ausscheiden aus einem Arbeits- oder Dienstverhältnis, brutto, Einnahmen";"0011 140"
"Abfindungen vom geschiedenen Ehepartner, Einnahmen";"0033 420"
"Abführmittel, apothekenpflichtig (ohne solche für Tiere), nicht pflanzlich oder homöopathisch";"0611 120"
"Abführmittel, apothekenpflichtig (ohne solche für Tiere), pflanzlich oder homöopathisch";"0611 220"
"Abgasuntersuchungen an Kraftfahrzeugen, Bestandteil der Hauptuntersuchung (HU)";"0724 328"
"Abgeltungssteuer, Ausgaben";"1611 150"
"Abhebungen von Festgeldkonten";"0071 200"
"Abhebungen von Postsparbüchern";"0071 100"
"Abhebungen von Sparbüchern";"0071 100"
